,Circuito,Mesa,Sección
0,0018,00114,003 - Almirante Brown
1,0018,00115,003 - Almirante Brown
2,0018A,00161,003 - Almirante Brown
3,0018A,00224,003 - Almirante Brown
4,0018A,00290,003 - Almirante Brown
5,0019,00430,003 - Almirante Brown
6,0019,00440,003 - Almirante Brown
7,0019,00523,003 - Almirante Brown
8,0019,00558,003 - Almirante Brown
9,0019,00559,003 - Almirante Brown
10,0019,00560,003 - Almirante Brown
11,0019,00562,003 - Almirante Brown
12,0020,00656,003 - Almirante Brown
13,0020A,00675,003 - Almirante Brown
14,0020A,00699,003 - Almirante Brown
15,0020A,00726,003 - Almirante Brown
16,0021A,00921,003 - Almirante Brown
17,0021A,00940,003 - Almirante Brown
18,0022,00944,003 - Almirante Brown
19,0022,00991,003 - Almirante Brown
20,0022,01007,003 - Almirante Brown
21,0022,01022,003 - Almirante Brown
22,0022,09027,003 - Almirante Brown
23,0022,09034,003 - Almirante Brown
24,0022A,01156,003 - Almirante Brown
25,0022A,01157,003 - Almirante Brown
26,0022A,01158,003 - Almirante Brown
27,0022A,01159,003 - Almirante Brown
28,0022A,01160,003 - Almirante Brown
29,0022A,01161,003 - Almirante Brown
30,0022A,01162,003 - Almirante Brown
31,0022A,01163,003 - Almirante Brown
32,0022A,01164,003 - Almirante Brown
33,0022A,01165,003 - Almirante Brown
34,0022A,01166,003 - Almirante Brown
35,0022A,01187,003 - Almirante Brown
36,0022B,01191,003 - Almirante Brown
37,0025,00081,004 - Avellaneda
38,0025,00082,004 - Avellaneda
39,0025,00083,004 - Avellaneda
40,0025,00084,004 - Avellaneda
41,0025,00085,004 - Avellaneda
42,0025,00086,004 - Avellaneda
43,0025,00089,004 - Avellaneda
44,0026,00107,004 - Avellaneda
45,0026,00117,004 - Avellaneda
46,0030,00196,004 - Avellaneda
47,0037,00337,004 - Avellaneda
48,0072,00013,007 - Bahía Blanca
49,0073,00086,007 - Bahía Blanca
50,0073,00087,007 - Bahía Blanca
51,0073,00088,007 - Bahía Blanca
52,0073,09008,007 - Bahía Blanca
53,0073,09009,007 - Bahía Blanca
54,0086,00474,007 - Bahía Blanca
55,0086,00476,007 - Bahía Blanca
56,0087,00587,007 - Bahía Blanca
57,0087,00588,007 - Bahía Blanca
58,0087,00589,007 - Bahía Blanca
59,0091,00641,007 - Bahía Blanca
60,0091,00652,007 - Bahía Blanca
61,0091,00664,007 - Bahía Blanca
62,0789,00026,011 - Berazategui
63,0789,00033,011 - Berazategui
64,0789,00036,011 - Berazategui
65,0789,00067,011 - Berazategui
